iteration	accuracy
1	0.5
2	0.9682639575654051
3	0.9670952081273038
4	0.9664658815067877
5	0.9672750157331655
6	0.9672300638317001
7	0.9673199676346309
8	0.967949294255147
9	0.9683089094668704
10	0.9684437651712667
11	0.9689382360873865
12	0.9694776589049717
13	0.9702867931313495
14	0.9704666007372111
15	0.9709610716533309
16	0.9713206868650544
17	0.9717252539782433
18	0.9722646767958285
19	0.972624292007552
20	0.9730288591207408
21	0.9734334262339297
22	0.9741077047559111
23	0.9746920794749618
24	0.9750067427852198
25	0.9755012137013396
26	0.9759057808145285
27	0.9763552998291828
28	0.9768947226467679
29	0.9773442416614223
30	0.9775690011687495
31	0.9777937606760766
32	0.9779286163804729
33	0.9781533758878
34	0.978557943000989
35	0.9787377506068506
36	0.9791423177200396
37	0.9792322215229704
38	0.9793670772273667
39	0.9794569810302975
40	0.9796367886361593
41	0.9801762114537445
42	0.9805807785669334
43	0.9807605861727952
44	0.9810302975815877
45	0.9813000089903803
46	0.9816146723006384
47	0.9817045761035692
48	0.982109143216758
49	0.9824687584284815
50	0.9827384698372741
51	0.9827834217387396
52	0.9828733255416704
53	0.9830081812460667
54	0.9832329407533938
55	0.9832778926548593
56	0.9834127483592556
57	0.9835476040636519
58	0.9836375078665828
59	0.9840870268812371
60	0.9843117863885642
61	0.9844016901914951
62	0.9845365458958913
63	0.9848512092061494
64	0.9848512092061494
65	0.9849860649105457
66	0.985120920614942
67	0.9852557763193384
68	0.9853906320237346
69	0.9855704396295963
70	0.9856153915310618
71	0.9857951991369235
72	0.9858851029398543
73	0.9858851029398543
74	0.9860199586442506
75	0.9860199586442506
76	0.9861997662501124
77	0.9862447181515778
78	0.9863346219545087
79	0.9865593814618359
80	0.986784140969163
81	0.9868290928706285
82	0.9868740447720938
83	0.9869189966735593
84	0.9868740447720938
85	0.9870538523779556
86	0.987098804279421
87	0.9872336599838173
88	0.9872786118852828
89	0.9873685156882136
90	0.9874134675896791
91	0.9874584194911444
92	0.9874584194911444
93	0.9875033713926099
94	0.9875932751955407
95	0.9876382270970062
96	0.987728130899937
97	0.9878629866043334
98	0.9880427942101951
99	0.9882226018160568
100	0.9882675537175223
