date	htlg	hybrid
1	0.5	0.5
2	0.968263958	0.781623663
3	0.967095208	0.781623663
4	0.966465882	0.785939045
5	0.967275016	0.786388564
6	0.967230064	0.790614043
7	0.967319968	0.790614043
8	0.967949294	0.790614043
9	0.968308909	0.791827744
10	0.968443765	0.791827744
11	0.968938236	0.791872696
12	0.969477659	0.792007552
13	0.970286793	0.792007552
14	0.970466601	0.792007552
15	0.970961072	0.792007552
16	0.971320687	0.792007552
17	0.971725254	0.792052504
18	0.972264677	0.792412119
19	0.972624292	0.792367167
20	0.973028859	0.792502023
21	0.973433426	0.792502023
22	0.974107705	0.792502023
23	0.974692079	0.792861638
24	0.975006743	0.793041446
25	0.975501214	0.793041446
26	0.975905781	0.793086398
27	0.9763553	0.793086398
28	0.976894723	0.793176301
29	0.977344242	0.793176301
30	0.977569001	0.793176301
31	0.977793761	0.793176301
32	0.977928616	0.793985436
33	0.978153376	0.794030387
34	0.978557943	0.794030387
35	0.978737751	0.794030387
36	0.979142318	0.794030387
37	0.979232222	0.794030387
38	0.979367077	0.794030387
39	0.979456981	0.794030387
40	0.979636789	0.794030387
41	0.980176211	0.794030387
42	0.980580779	0.794030387
43	0.980760586	0.794120291
44	0.981030298	0.794120291
45	0.981300009	0.794120291
46	0.981614672	0.794120291
47	0.981704576	0.794165243
48	0.982109143	0.794165243
49	0.982468758	0.794165243
50	0.98273847	0.794165243
51	0.982783422	0.794165243
52	0.982873326	0.794165243
53	0.983008181	0.794165243
54	0.983232941	0.794165243
55	0.983277893	0.794165243
56	0.983412748	0.794165243
57	0.983547604	0.794165243
58	0.983637508	0.794165243
59	0.984087027	0.794165243
60	0.984311786	0.794165243
61	0.98440169	0.794165243
62	0.984536546	0.794165243
63	0.984851209	0.794165243
64	0.984851209	0.794165243
65	0.984986065	0.794165243
66	0.985120921	0.794165243
67	0.985255776	0.794165243
68	0.985390632	0.794165243
69	0.98557044	0.794165243
70	0.985615392	0.794255147
71	0.985795199	0.794255147
72	0.985885103	0.794255147
73	0.985885103	0.794255147
74	0.986019959	0.794255147
75	0.986019959	0.794255147
76	0.986199766	0.794255147
77	0.986244718	0.794255147
78	0.986334622	0.794255147
79	0.986559381	0.794255147
80	0.986784141	0.794255147
81	0.986829093	0.794255147
82	0.986874045	0.794255147
83	0.986918997	0.794255147
84	0.986874045	0.794255147
85	0.987053852	0.794255147
86	0.987098804	0.794255147
87	0.98723366	0.794255147
88	0.987278612	0.794255147
89	0.987368516	0.794255147
90	0.987413468	0.794255147
91	0.987458419	0.794255147
92	0.987458419	0.794255147
93	0.987503371	0.794255147
94	0.987593275	0.794255147
95	0.987638227	0.794255147
96	0.987728131	0.794255147
97	0.987862987	0.794255147
98	0.988042794	0.794255147
99	0.988222602	0.794255147
100	0.988267554	0.794255147
