iteration,Train Hybrid,Test Hybrid,Train htlg,Test htlg
1,0.374971904,0.201797753,0.625028096,0
2,0.768262531,0.201797753,0.866992583,0.191460674
3,0.767194875,0.203595506,0.882670263,0.193707865
4,0.783378287,0.319550562,0.892672511,0.194606742
5,0.826534053,0.478651685,0.900820409,0.195730337
6,0.830636098,0.479325843,0.907226343,0.196404494
7,0.830748483,0.480898876,0.912115082,0.197752809
8,0.834232412,0.493033708,0.915992358,0.198651685
9,0.834288604,0.493033708,0.918689593,0.200449438
10,0.834063835,0.494606742,0.922004945,0.201573034
11,0.835019105,0.494606742,0.924533603,0.203146067
12,0.83698584,0.51011236,0.927006069,0.205617978
13,0.838615419,0.510337079,0.928691841,0.208089888
14,0.838952574,0.517303371,0.930939537,0.211235955
15,0.838952574,0.517303371,0.933299618,0.213483146
16,0.839121151,0.517303371,0.93476062,0.214157303
17,0.839121151,0.517303371,0.936221623,0.215955056
18,0.839233536,0.518876404,0.937851203,0.217977528
19,0.840020229,0.521348315,0.938975051,0.219325843
20,0.840020229,0.521348315,0.940267476,0.221797753
21,0.840020229,0.521348315,0.940997977,0.223146067
22,0.840244999,0.521348315,0.941897056,0.224719101
23,0.840244999,0.521348315,0.942683749,0.227191011
24,0.840244999,0.521348315,0.944257136,0.229438202
25,0.840244999,0.521348315,0.945324792,0.231910112
26,0.840244999,0.521348315,0.946223871,0.234382022
27,0.840244999,0.521348315,0.947403911,0.236404494
28,0.840188806,0.521348315,0.948415374,0.239775281
29,0.84120027,0.521348315,0.94925826,0.242921348
30,0.84120027,0.521348315,0.950382108,0.245168539
31,0.84120027,0.521348315,0.950831648,0.246966292
32,0.84120027,0.521348315,0.951393572,0.248764045
33,0.84120027,0.521348315,0.95206788,0.251235955
34,0.84120027,0.521348315,0.952573612,0.252134831
35,0.841312655,0.521348315,0.953247921,0.253932584
36,0.841312655,0.521348315,0.953978422,0.256404494
37,0.841312655,0.521348315,0.954540346,0.257977528
38,0.841312655,0.520449438,0.955158463,0.26
39,0.841312655,0.520449438,0.955608002,0.262247191
40,0.841312655,0.520674157,0.956900427,0.263820225
41,0.841312655,0.520674157,0.95791189,0.266516854
42,0.841312655,0.520674157,0.958642392,0.268764045
43,0.841312655,0.520674157,0.959372893,0.270561798
44,0.841312655,0.520674157,0.959934817,0.272359551
45,0.841312655,0.520674157,0.960215779,0.274606742
46,0.841312655,0.520674157,0.960890088,0.275955056
47,0.841312655,0.520674157,0.961845359,0.278876404
48,0.841425039,0.520674157,0.962013936,0.281797753
49,0.841425039,0.520674157,0.962463475,0.282921348
50,0.841425039,0.520674157,0.963137784,0.284494382
51,0.841425039,0.520674157,0.963531131,0.287191011
52,0.841425039,0.520674157,0.963924477,0.288539326
53,0.841481232,0.520674157,0.964205439,0.289213483
54,0.841481232,0.520674157,0.964654979,0.289662921
55,0.841481232,0.520449438,0.964992133,0.291235955
56,0.841481232,0.520449438,0.965441672,0.291910112
57,0.841481232,0.520449438,0.965891212,0.293932584
58,0.841481232,0.520449438,0.966228366,0.295730337
59,0.841481232,0.520449438,0.966958867,0.29752809
60,0.841481232,0.520449438,0.967464599,0.297977528
61,0.841481232,0.520449438,0.968026523,0.299101124
62,0.841481232,0.520449438,0.968307485,0.300449438
63,0.841481232,0.520449438,0.96841987,0.301348315
64,0.841481232,0.520449438,0.968588447,0.302247191
65,0.841481232,0.520449438,0.968588447,0.302696629
66,0.841481232,0.520449438,0.968757024,0.304044944
67,0.841537424,0.520674157,0.969262756,0.305842697
68,0.841537424,0.520674157,0.969656102,0.306516854
69,0.841593617,0.520674157,0.970330411,0.307865169
70,0.841593617,0.520674157,0.970386604,0.309213483
71,0.841593617,0.520674157,0.970948528,0.311685393
72,0.841593617,0.520674157,0.970948528,0.312359551
73,0.841593617,0.520674157,0.971173297,0.314382022
74,0.841593617,0.520674157,0.97122949,0.315730337
75,0.841593617,0.520674157,0.971510452,0.317078652
76,0.841593617,0.520674157,0.971791414,0.31752809
77,0.841593617,0.520674157,0.972016183,0.318876404
78,0.841593617,0.520674157,0.972521915,0.319101124
79,0.841593617,0.520674157,0.972802877,0.32
80,0.841593617,0.520674157,0.973308609,0.321123596
81,0.841593617,0.520674157,0.973533378,0.321797753
82,0.841593617,0.520674157,0.973870533,0.322696629
83,0.841593617,0.520674157,0.974095302,0.322921348
84,0.841593617,0.520674157,0.974601034,0.323595506
85,0.841593617,0.520674157,0.974938188,0.324044944
86,0.841593617,0.520674157,0.975050573,0.324494382
87,0.841593617,0.520674157,0.975275343,0.325617978
88,0.841593617,0.520674157,0.975612497,0.326292135
89,0.841593617,0.520674157,0.975724882,0.32741573
90,0.841593617,0.520674157,0.976005844,0.327865169
91,0.841593617,0.520674157,0.976118229,0.328988764
92,0.841593617,0.520674157,0.976286806,0.329213483
93,0.841818386,0.520674157,0.976736345,0.33011236
94,0.841818386,0.520674157,0.977017307,0.330337079
95,0.841818386,0.520674157,0.977579231,0.331685393
96,0.841818386,0.520674157,0.977972578,0.332134831
97,0.841818386,0.520674157,0.97847831,0.332134831
98,0.841818386,0.520674157,0.978815464,0.33258427
99,0.841818386,0.520674157,0.979265003,0.333033708
100,0.841818386,0.520674157,0.979489773,0.333258427
